task_id,human_success_n,human_success_final_progress,human_success_median_progress,human_failed_n,human_failed_final_progress,human_failed_median_progress,codeit_success_n,codeit_success_final_progress,codeit_success_median_progress,codeit_failed_n,codeit_failed_final_progress,codeit_failed_median_progress
00576224,5,1.0,0.4721,1,0.7273,-1.3457,332,1.0,0.0,29,0.75,0.0
009d5c81,7,1.0,0.9158,2,0.0,0.0,150,1.0,0.0942,747,0.1875,0.1875
070dd51e,9,1.0,0.9299,3,-0.0263,-0.0132,477,1.0,0.2442,18,0.9535,0.1977
0934a4d8,1,1.0,0.3704,8,0.0,0.0,125,1.0,0.5,6,0.8148,0.422
0c786b71,8,1.0,0.4583,4,-0.0333,-0.0167,343,1.0,0.0,0,,
0c9aba6e,1,1.0,0.5,8,0.0,0.0,536,1.0,0.1949,0,,
12eac192,3,1.0,0.8281,5,0.0,0.0,289,1.0,0.5781,19,0.5789,0.3158
15696249,9,1.0,0.821,6,0.2103,0.0,188,1.0,0.0471,119,0.6667,0.0471
195ba7dc,4,1.0,0.3,6,0.0,0.0401,527,1.0,0.4306,10,0.5333,0.2714
19bb5feb,9,1.0,0.25,0,,,759,1.0,0.0,31,0.75,0.0
1a2e2828,6,1.0,0.0,2,0.0,0.0,57,1.0,0.0051,554,0.0,0.0
27f8ce4f,2,0.5,0.716,3,0.0,0.0,404,1.0,0.002,105,0.9506,0.0
3194b014,10,1.0,0.5,1,0.0,0.0,725,1.0,0.0051,44,0.0,0.0
31d5ba1a,0,,,9,0.0,0.0,330,1.0,0.1333,1,0.0,0.0316
32e9702f,6,1.0,0.5,6,0.0,0.0,406,1.0,0.2774,94,0.9432,0.4716
34b99a2b,1,1.0,0.5,8,0.0,0.019,115,1.0,0.2,1,0.4,0.2035
358ba94e,9,1.0,0.5,1,0.0,0.0,290,1.0,0.9949,415,0.84,0.6428
48131b3c,6,1.0,0.5533,6,0.0,0.0,119,1.0,0.0,158,0.5,0.0
48f8583b,6,1.0,0.7543,10,0.0,-0.0453,178,1.0,0.0,61,0.9506,0.0
506d28a5,3,1.0,0.725,4,0.0,0.0,693,1.0,0.304,0,,
59341089,9,1.0,0.4028,2,0.0,0.0,532,1.0,0.0,1,0.8889,0.0
5d2a5c43,2,1.0,-0.4457,6,-0.1339,-0.0883,268,1.0,0.2546,1,0.9167,0.25
60c09cac,5,1.0,0.8099,4,0.0,0.0,656,1.0,0.5,5,0.84,0.0044
62ab2642,5,1.0,0.875,1,0.7,0.7016,96,1.0,0.9167,46,0.8333,0.8333
642d658d,5,1.0,0.0,1,0.0,0.0,20,1.0,0.4924,153,0.0,0.0
66f2d22f,4,1.0,0.6339,7,0.0,0.0,534,1.0,0.1122,0,,
67b4a34d,4,1.0,0.375,4,-0.1154,-0.0501,633,1.0,0.0,20,0.4375,0.0
68b67ca3,10,1.0,0.5,2,0.0,0.0,623,1.0,0.5,10,0.8889,0.899
6df30ad6,12,1.0,0.875,2,-0.6126,-0.2807,408,1.0,0.0053,431,0.52,0.1188
7039b2d7,8,1.0,0.1525,4,0.0,0.0,115,1.0,0.5,288,0.0,0.0
7953d61e,3,1.0,0.5234,8,0.0,0.0,267,1.0,0.0,0,,
7bb29440,5,1.0,0.4375,2,0.0,0.0,15,1.0,0.5,462,0.0,0.0
833dafe3,9,1.0,0.7715,1,0.0,0.0,237,1.0,0.0,3,0.9375,0.0
84db8fc4,2,1.0,0.49,4,-0.019,-0.0355,870,1.0,0.6571,21,0.6571,0.6571
84f2aca1,7,1.0,0.9744,2,-0.0833,-0.0833,642,1.0,0.7143,185,0.5714,0.4264
8597cfd7,11,1.0,0.5,1,0.0,0.0,311,1.0,0.5,273,0.0,0.0
8fbca751,8,1.0,0.8073,2,0.0,0.0,75,1.0,-0.0539,204,0.76,0.38
903d1b4a,15,1.0,0.9512,3,0.0,0.0,1,1.0,0.35,0,,
929ab4e9,2,1.0,0.4913,6,-0.0125,-0.0063,100,1.0,0.228,237,0.9091,0.8985
94133066,2,1.0,0.8942,6,0.0,0.0,244,1.0,0.0051,0,,
9a4bb226,7,1.0,0.5,3,0.0,0.0,15,1.0,0.5,803,0.3333,0.1667
9b4c17c4,5,0.0,0.0,1,0.0,0.0,18,1.0,-2.3501,0,,
ae58858e,7,1.0,0.8125,3,0.0,0.0,241,1.0,0.5,182,0.6667,0.3333
bc4146bd,5,1.0,0.375,7,0.0,0.0,173,1.0,0.0,0,,
be03b35f,7,1.0,0.375,3,0.0,0.0,524,1.0,0.0,9,0.5,0.0
cd3c21df,11,1.0,0.4167,1,0.0,0.0,71,1.0,0.5,634,0.0,0.0
d19f7514,4,1.0,0.5434,9,0.0,-0.1919,554,1.0,0.2142,4,0.75,0.5
d4b1c2b1,6,1.0,0.1667,6,0.0,0.0,204,1.0,0.0051,157,0.0,0.0
e0fb7511,7,1.0,0.855,3,0.0,0.0,510,1.0,0.5,14,0.7576,0.3788
e133d23d,6,1.0,0.4643,4,0.0,0.0,589,1.0,0.2222,120,0.6667,0.2222
e345f17b,5,1.0,0.8958,4,0.0,0.0,761,1.0,0.327,2,0.4375,0.2936
e66aafb8,10,1.0,0.5,3,0.0,0.0,672,1.0,0.0101,84,0.0,0.0735
e7639916,8,1.0,0.9011,3,0.0,0.0,588,1.0,0.5,139,-0.9677,-0.1965
e872b94a,9,1.0,0.5,6,0.0,0.0,2,1.0,0.4975,288,0.0,0.0
ed74f2f2,7,1.0,0.5,4,-0.0714,0.0,152,1.0,0.0,547,0.0,0.0
ed98d772,3,1.0,0.6923,7,0.0,-0.0157,294,1.0,0.0,312,0.8889,0.0
f0df5ff0,7,1.0,0.8956,2,0.36,0.3795,685,1.0,0.0051,15,-0.0455,-0.2342
f4081712,8,1.0,0.4375,4,0.0,0.0,563,1.0,0.0,126,0.5,0.0013
f5aa3634,12,1.0,0.3958,2,0.0,0.0,179,1.0,0.9949,423,0.0,0.0
