task_id,baseline
00576224,0.0
009d5c81,0.836735
00dbd492,0.78
03560426,0.71
05a7bcf2,0.581111
0607ce86,0.901515
0692e18c,0.0
070dd51e,0.8925
08573cc6,0.461538
0934a4d8,0.0
09c534e7,0.854444
0a1d4ef5,0.0
0a2355a6,0.662745
0b17323b,0.991111
0bb8deee,0.0
0becf7df,0.77
0c786b71,0.0
0c9aba6e,0.0
0d87d2a6,0.706087
0e671a1a,0.87574
0f63c0b9,0.537778
103eff5b,0.807692
11e1fe23,0.97619
12422b43,0.857143
12997ef3,0.0
12eac192,0.703125
136b0064,0.0
13713586,0.517544
137f0df0,0.56
140c817e,0.443878
14754a24,0.958449
15113be4,0.971645
15663ba9,0.866667
15696249,0.0
16b78196,0.892222
17b80ad2,0.865052
17cae0c1,0.0
18419cfa,0.976648
184a9768,0.867692
195ba7dc,0.0
1990f7a8,0.0
19bb5feb,0.0
1a2e2828,0.0
1a6449f1,0.0
1acc24af,0.916667
1c02dbbe,0.48
1c0d0a4b,0.52071
1c56ad9f,0.84
1d0a4b61,0.8864
1d398264,0.784722
1da012fc,0.915789
1e81d6f9,0.982222
1e97544e,0.862004
2037f2c7,0.0
2072aba6,0.0
20818e16,0.0
20981f0e,0.900452
212895b5,0.925466
21f83797,0.538462
22a4bbc2,0.738636
25094a63,0.853333
2546ccf6,0.976589
256b0a75,0.498462
2685904e,0.88
2697da3f,0.0
2753e76c,0.0
27a77e38,0.987654
27f8ce4f,0.0
281123b4,0.0
292dd178,0.872727
29700607,0.735537
2a5f8217,0.87574
2b01abd0,0.901786
2c0b0aff,0.0
2c737e39,0.909091
2f0c5170,0.0
310f3251,0.0
3194b014,0.0
319f2597,0.84
31adaf00,0.75
31d5ba1a,0.0
32e9702f,0.12
332efdb3,0.206612
3391f8c0,0.766234
33b52de3,0.73535
3490cc26,0.901186
34b99a2b,0.0
351d6448,0.0
358ba94e,0.0
37d3e8b2,0.555556
3979b1a8,0.0
3a301edc,0.637188
3b4c2228,0.0
3d31c5b3,0.0
3ed85e70,0.971111
3ee1011a,0.0
3f23242b,0.712074
40f6cd08,0.75
414297c0,0.0
423a55dc,0.811189
42918530,0.9552
42a15761,0.961722
4364c1c4,0.89011
456873bc,0.767313
45737921,0.75
45bbe264,0.653333
477d2879,0.035503
47996f11,0.842222
48131b3c,0.0
4852f2fa,0.0
48f8583b,0.0
4aab4007,0.839286
4acc7107,0.57
4b6b68e5,0.759615
4c177718,0.0
4cd1b7b2,0.625
4e45f183,0.833795
4e469f39,0.8
4f537728,0.885
4ff4c9da,0.975309
505fff84,0.0
506d28a5,0.0
50a16a69,0.0
50aad11f,0.0
50f325b5,0.955882
516b51b7,0.729412
5207a7b5,0.688889
5289ad53,0.0
52fd389e,0.643282
54db823b,0.866667
55059096,0.963801
551d5bf1,0.748521
55783887,0.917763
575b1a71,0.92
5783df64,0.0
5833af48,0.0
58743b76,0.928571
58e15b12,0.860417
59341089,0.0
5a5a2103,0.6875
5af49b42,0.941176
5b526a93,0.847619
5b692c0f,0.949405
5b6cbef5,0.0
5d2a5c43,0.0
5ffb2104,0.59
604001fa,0.777778
60a26a3e,0.955556
60c09cac,0.0
626c0bcc,0.673469
62ab2642,0.8
62b74c02,0.285714
639f5a19,0.553875
642248e4,0.958333
642d658d,0.0
64a7c07e,0.777778
66e6c45b,0.5
66f2d22f,0.0
67636eac,0.0
67b4a34d,0.0
67c52801,0.636364
68b67ca3,0.0
692cd3b6,0.653333
695367ec,0.0
696d4842,0.965
69889d6e,0.86
6a11f6da,0.0
6ad5bdfd,0.69
6df30ad6,0.75
6ea4a07e,0.0
6f473927,0.0
7039b2d7,0.0
705a3229,0.857955
712bf12e,0.83432
72207abc,0.942529
72a961c9,0.858586
73182012,0.0
73c3b0d8,0.916667
73ccf9c2,0.0
759f3fd3,0.569444
762cd429,0.3
770cc55f,0.854545
782b5218,0.6
79369cc6,0.925
7953d61e,0.0
79fb03f4,0.801775
7bb29440,0.0
7c8af763,0.52
7c9b52a0,0.0
7d18a6fb,0.0
7d1f7ee8,0.85468
7d419a02,0.722
7e02026e,0.875
7ee1c6ea,0.72
817e6c09,0.847619
81c0276b,0.0
833dafe3,0.0
845d6e51,0.872549
84db8fc4,0.65
84f2aca1,0.955128
8597cfd7,0.0
85b81ff1,0.89011
85fa5666,0.75
8719f442,0.0
88207623,0.90625
891232d6,0.853333
896d5239,0.907407
8a371977,0.555556
8b28cd80,0.0
8ba14f53,0.0
8cb8642d,0.662281
8dae5dfc,0.455263
8e2edd66,0.0
8ee62060,0.755102
8fbca751,0.739583
90347967,0.802469
903d1b4a,0.921875
9110e3c5,0.0
917bccba,0.8125
929ab4e9,0.942708
92e50de0,0.942925
9356391f,0.75
93b4f4b3,0.0
93c31fbe,0.950549
94133066,0.0
94414823,0.84
94be5b80,0.8
95a58926,0.895623
963f59bc,0.946429
96a8c0cd,0.891247
97239e3d,0.806228
9772c176,0.93
981571dc,0.966667
992798f6,0.957031
99306f82,0.67
9a4bb226,0.0
9b2a60aa,0.923077
9b365c51,0.520408
9b4c17c4,0.802469
9bebae7a,0.886364
9c1e755f,0.62
9c56f360,0.82716
9caba7c3,0.927978
9ddd00f0,0.626039
9def23fe,0.715
9f27f097,0.916667
a04b2602,0.75463
a096bf4d,0.983728
a3f84088,0.545556
a406ac07,0.83
a57f2f04,0.856643
a59b95c0,0.0
a680ac02,0.0
a8610ef7,0.722222
a934301b,0.692308
aa18de87,0.638889
aa300dc3,0.93
aa4ec2a5,0.655271
aab50785,0.0
ac0c5833,0.932785
ac2e8ecf,0.616667
ac3e2b04,0.791667
ac605cbb,0.842975
ad7e01d0,0.0
ae58858e,0.8125
aee291af,0.0
af22c60d,0.937778
af24b4cc,0.0
b0722778,0.0
b0f4d537,0.0
b15fca0b,0.74
b1fc8b8e,0.0
b20f7c8b,0.747475
b457fec5,0.63285
b4a43f3b,0.0
b7999b51,0.0
b7cb93ac,0.0
b7f8a4d8,0.893333
b7fb29bc,0.786667
b942fd60,0.641667
b9630600,0.932222
ba9d41b8,0.808864
baf41dbf,0.816176
bb52a14b,0.979339
bbb1b8b6,0.0
bc4146bd,0.0
bcb3040b,0.950617
bd14c3bf,0.831025
be03b35f,0.0
bf32578f,0.625
bf699163,0.0
bf89d739,0.920168
c074846d,0.925926
c1990cce,0.0
c3202e5a,0.0
c35c1b4c,0.88
c48954c1,0.0
c62e2108,0.75
c64f1187,0.0
c658a4bd,0.0
c663677b,0.888889
c6e1b8da,0.8275
c7d4e6ad,0.8
c87289bb,0.78
c8b7cc0f,0.0
c92b942c,0.0
c97c0139,0.848485
ca8de6ea,0.0
ca8f78db,0.918889
cad67732,0.0
cb227835,0.89011
ccd554ac,0.0
cd3c21df,0.0
ce039d91,0.8
ce8d95cc,0.0
cf133acc,0.88
cfb2ce5a,0.63
d017b73f,0.0
d19f7514,0.0
d282b262,0.595556
d2acf2cb,0.733333
d304284e,0.911491
d37a1ef5,0.788462
d47aa2ff,0.0
d492a647,0.827451
d4b1c2b1,0.0
d4c90558,0.0
d56f2372,0.0
d5c634a2,0.0
d931c21c,0.855556
d94c3b52,0.84
da2b0fe3,0.9
da515329,0.525148
dc2aa30b,0.636364
dc2e9a9d,0.928571
dd2401ed,0.838095
de493100,0.0
df8cc377,0.84965
e0fb7511,0.804734
e133d23d,0.0
e1baa8a4,0.0
e1d2900e,0.977778
e2092e0c,0.933333
e21a174a,0.591837
e345f17b,0.0
e4075551,0.770833
e41c6fd3,0.843137
e57337a4,0.0
e5790162,0.858333
e5c44e8f,0.958678
e619ca6e,0.874384
e633a9e5,0.0
e66aafb8,0.0
e681b708,0.948225
e69241bd,0.753086
e6de6e8f,0.0
e74e1818,0.795556
e760a62e,0.781888
e7639916,0.82967
e78887d1,0.0
e7a25a18,0.0
e7b06bea,0.555556
e7dd8335,0.89899
e872b94a,0.0
e88171ec,0.972789
e95e3d8e,0.904959
e99362f0,0.0
e9ac8c9e,0.697778
e9b4f6fc,0.0
e9bb6954,0.764543
e9c9d9a1,0.671111
ea959feb,0.910909
ea9794b1,0.0
ecaa0ec1,0.92562
ed74f2f2,0.0
ed98d772,0.0
ef26cbf6,0.818182
f0afb749,0.0
f0df5ff0,0.804444
f21745ec,0.818182
f3b10344,0.927586
f3cdc58f,0.54
f3e62deb,0.84
f4081712,0.0
f45f5ca7,0.84
f5aa3634,0.0
f5c89df1,0.822485
f823c43c,0.761719
f83cb3f6,0.866667
f8be4b64,0.739612
f9a67cb5,0.72381
f9d67f8b,0.881111
fafd9572,0.785714
fb791726,0.0
fc754716,0.539683
fd096ab6,0.97
fd4b2b02,0.875
fe9372f3,0.856863
fea12743,0.863636
ff72ca3e,0.68
