task_id,pair,trace_idx,baseline_group,score_min,score_median,n_codeit
00576224,pair1,0,A,7.279,15.773,375
00576224,pair1,1,A,34.2165,51.8606,375
00576224,pair1,2,A,11.5771,23.2679,375
00576224,pair1,3,A,12.3858,23.7929,375
00576224,pair1,4,A,18.9242,30.2526,375
009d5c81,pair1,0,B,19.0841,28.9061,54
009d5c81,pair1,1,B,41.2858,50.112,54
009d5c81,pair1,2,B,39.8636,49.2491,54
009d5c81,pair1,3,B,7.4034,15.7809,54
009d5c81,pair1,4,B,28.2434,66.0341,54
009d5c81,pair1,5,B,0.6881,25.7084,54
009d5c81,pair1,6,B,18.067,29.2452,54
0692e18c,pair1,0,A,38.6555,41.6609,5
0692e18c,pair1,1,A,39.2169,42.7516,5
0692e18c,pair1,2,A,48.5195,52.0541,5
0692e18c,pair1,3,A,15.3568,15.3568,5
070dd51e,pair1,0,B,16.8284,28.5245,30
070dd51e,pair1,1,B,13.3223,26.9646,30
070dd51e,pair1,2,B,20.9163,30.8936,30
070dd51e,pair1,3,B,90.8179,109.6089,30
070dd51e,pair1,4,B,0.5754,32.0667,30
070dd51e,pair1,5,B,102.3672,114.5011,30
070dd51e,pair1,6,B,66.5108,75.6308,30
070dd51e,pair1,7,B,29.385,38.2802,30
070dd51e,pair1,8,B,0.5754,32.0667,30
0934a4d8,pair1,0,A,13.9475,24.5041,85
0b17323b,pair1,0,B,2658.2724,2710.6668,11
0b17323b,pair1,1,B,2658.2724,2710.6668,11
0b17323b,pair1,2,B,3369.7319,3621.9242,11
0b17323b,pair1,3,B,2163.4242,2219.6968,11
0b17323b,pair1,4,B,1378.4548,1443.6463,11
0b17323b,pair1,5,B,2690.667,2741.7526,11
0b17323b,pair1,6,B,1793.5765,1860.0109,11
0b17323b,pair1,7,B,2171.2725,2230.1018,11
0b17323b,pair1,8,B,2658.2724,2710.6668,11
0c786b71,pair1,0,A,16.3926,29.4927,206
0c786b71,pair1,1,A,15.7693,28.8694,206
0c786b71,pair1,2,A,38.7693,56.1867,206
0c786b71,pair1,3,A,11.5224,23.8418,206
0c786b71,pair1,4,A,51.4398,68.3827,206
0c786b71,pair1,5,A,23.6046,37.7023,206
0c786b71,pair1,6,A,12.8194,25.9724,206
0c786b71,pair1,7,A,14.6346,27.7849,206
0c9aba6e,pair1,0,A,8.7594,25.8125,125
12eac192,pair1,0,B,24.2013,39.2281,20
12eac192,pair1,1,B,11.321,26.3477,20
12eac192,pair1,2,B,24.2013,39.2281,20
140c817e,pair1,0,B,59.1018,59.1018,1
140c817e,pair1,1,B,25.5248,25.5248,1
140c817e,pair1,2,B,17.4238,17.4238,1
140c817e,pair1,3,B,20.0521,20.0521,1
140c817e,pair1,4,B,41.4537,41.4537,1
140c817e,pair1,5,B,11.0552,11.0552,1
140c817e,pair1,6,B,28.5746,28.5746,1
140c817e,pair1,7,B,26.8402,26.8402,1
140c817e,pair1,8,B,20.98,20.98,1
15696249,pair1,0,A,47.1734,51.0112,4
15696249,pair1,1,A,10.8888,13.5685,4
15696249,pair1,2,A,47.1734,51.0112,4
15696249,pair1,3,A,40.5709,42.1074,4
15696249,pair1,4,A,36.3439,40.2452,4
15696249,pair1,5,A,42.4601,46.42,4
15696249,pair1,6,A,47.1734,51.0112,4
15696249,pair1,7,A,47.1734,51.0112,4
15696249,pair1,8,A,47.1734,51.0112,4
195ba7dc,pair1,0,A,6.167,12.9256,270
195ba7dc,pair1,1,A,0.3184,9.0495,270
195ba7dc,pair1,2,A,1.9279,13.3777,270
195ba7dc,pair1,3,A,13.7611,24.8747,270
19bb5feb,pair1,0,A,3.356,15.8556,284
19bb5feb,pair1,1,A,4.4956,12.9247,284
19bb5feb,pair1,2,A,2.3588,9.9446,284
19bb5feb,pair1,3,A,2.3588,9.9446,284
19bb5feb,pair1,4,A,4.1416,10.6057,284
19bb5feb,pair1,5,A,2.3588,9.9446,284
19bb5feb,pair1,6,A,2.3588,9.9446,284
19bb5feb,pair1,7,A,2.2674,9.343,284
19bb5feb,pair1,8,A,1.4847,8.2119,284
1a2e2828,pair1,0,A,0.3232,4.5957,17
1a2e2828,pair1,1,A,0.3232,4.5957,17
1a2e2828,pair1,2,A,0.3232,4.5957,17
1a2e2828,pair1,3,A,5.3634,12.8281,17
1a2e2828,pair1,4,A,0.3232,4.5957,17
1a2e2828,pair1,5,A,0.0,0.0,17
1acc24af,pair1,0,B,1.6291,15.9028,15
1acc24af,pair1,1,B,81.9734,105.8373,15
1acc24af,pair1,2,B,122.9267,138.5003,15
21f83797,pair1,0,B,32.832,40.0019,2
21f83797,pair1,1,B,13.6043,15.7056,2
21f83797,pair1,2,B,14.2305,21.2561,2
21f83797,pair1,3,B,2.0795,7.8574,2
21f83797,pair1,4,B,18.6364,25.4145,2
21f83797,pair1,5,B,28.9441,35.998,2
21f83797,pair1,6,B,2.6987,9.1378,2
21f83797,pair1,7,B,18.5196,24.9845,2
21f83797,pair1,8,B,5.6956,11.1257,2
21f83797,pair1,9,B,1.6872,7.2778,2
21f83797,pair1,10,B,49.1887,56.367,2
21f83797,pair1,11,B,7.5892,11.2874,2
21f83797,pair1,12,B,16.8338,23.4853,2
21f83797,pair1,13,B,1.6872,7.2778,2
27f8ce4f,pair1,0,A,32.8555,39.1407,225
27f8ce4f,pair1,1,A,33.2548,40.0564,225
2c0b0aff,pair1,0,A,28.7803,28.7803,1
2c0b0aff,pair1,1,A,26.6987,26.6987,1
2c0b0aff,pair1,2,A,14.7475,14.7475,1
2c0b0aff,pair1,3,A,9.8086,9.8086,1
2c0b0aff,pair1,4,A,12.5249,12.5249,1
2c0b0aff,pair1,5,A,4.4445,4.4445,1
2c0b0aff,pair1,6,A,18.7214,18.7214,1
3194b014,pair1,0,A,0.2803,11.1741,152
3194b014,pair1,1,A,0.2803,11.1741,152
3194b014,pair1,2,A,0.2803,11.1741,152
3194b014,pair1,3,A,0.0,4.5957,152
3194b014,pair1,4,A,0.2803,11.1741,152
3194b014,pair1,5,A,0.0,4.5957,152
3194b014,pair1,6,A,14.5378,20.5858,152
3194b014,pair1,7,A,0.0,4.5957,152
3194b014,pair1,8,A,0.0,4.5957,152
3194b014,pair1,9,A,11.8794,13.0865,152
32e9702f,pair1,0,B,0.0,11.6521,11
32e9702f,pair1,1,B,7.0343,19.0638,11
32e9702f,pair1,2,B,6.2131,20.8561,11
32e9702f,pair1,3,B,4.3814,37.0183,11
32e9702f,pair1,4,B,3.5106,36.1945,11
32e9702f,pair1,5,B,7.9655,30.4568,11
34b99a2b,pair1,0,A,21.1354,31.7242,22
358ba94e,pair1,0,A,0.5336,1.6662,66
358ba94e,pair1,1,A,0.3533,16.8507,66
358ba94e,pair1,2,A,5.763,47.7829,66
358ba94e,pair1,3,A,0.3533,16.8507,66
358ba94e,pair1,4,A,3.0323,4.0308,66
358ba94e,pair1,5,A,2.7012,21.9003,66
358ba94e,pair1,6,A,3.4444,21.5789,66
358ba94e,pair1,7,A,3.8181,46.5898,66
358ba94e,pair1,8,A,0.4828,13.1331,66
3b4c2228,pair1,0,A,1.4831,36.4782,89
3b4c2228,pair1,1,A,1.4831,36.4782,89
3b4c2228,pair1,2,A,1.4831,36.4782,89
3b4c2228,pair1,3,A,1.4831,36.4782,89
3b4c2228,pair1,4,A,4.9659,16.7501,89
3b4c2228,pair1,5,A,1.4831,36.4782,89
3b4c2228,pair1,6,A,1.4831,36.4782,89
3b4c2228,pair1,7,A,1.4831,36.4782,89
3b4c2228,pair1,8,A,1.4058,33.6205,89
3b4c2228,pair1,9,A,10.8067,23.6139,89
3b4c2228,pair1,10,A,4.9659,16.7501,89
3b4c2228,pair1,11,A,8.5062,18.9904,89
3b4c2228,pair1,12,A,1.4058,33.6205,89
3b4c2228,pair1,13,A,1.4831,36.4782,89
3b4c2228,pair1,14,A,13.2152,14.1839,89
48131b3c,pair1,0,A,6.6499,30.398,47
48131b3c,pair1,1,A,13.9696,30.4201,47
48131b3c,pair1,2,A,13.4625,42.7272,47
48131b3c,pair1,3,A,6.2401,9.1235,47
48131b3c,pair1,4,A,6.6048,11.4009,47
48131b3c,pair1,5,A,9.5382,43.5273,47
48f8583b,pair1,0,A,13.5399,25.4834,149
48f8583b,pair1,1,A,48.8479,64.5448,149
48f8583b,pair1,2,A,33.3586,47.8215,149
48f8583b,pair1,3,A,36.3854,51.4631,149
48f8583b,pair1,4,A,33.6373,48.2132,149
48f8583b,pair1,5,A,33.1615,47.7374,149
506d28a5,pair1,0,A,4.0217,16.8337,118
506d28a5,pair1,1,A,4.2671,15.8424,118
506d28a5,pair1,2,A,4.1653,13.3778,118
50a16a69,pair1,0,A,22.5667,22.5667,1
50a16a69,pair1,1,A,24.7761,24.7761,1
50a16a69,pair1,2,A,20.1699,20.1699,1
50a16a69,pair1,3,A,22.5667,22.5667,1
50a16a69,pair1,4,A,17.8937,17.8937,1
50a16a69,pair1,5,A,6.61,6.61,1
59341089,pair1,0,A,10.3223,36.1799,166
59341089,pair1,1,A,10.2592,29.4663,166
59341089,pair1,2,A,9.5566,32.2152,166
59341089,pair1,3,A,23.6447,56.2668,166
59341089,pair1,4,A,5.3205,9.3519,166
59341089,pair1,5,A,17.0352,21.2963,166
59341089,pair1,6,A,30.1416,40.8169,166
59341089,pair1,7,A,7.4507,16.94,166
59341089,pair1,8,A,10.1012,10.6312,166
5d2a5c43,pair1,0,A,4.4467,9.6979,211
5d2a5c43,pair1,1,A,17.1809,26.1113,211
60c09cac,pair1,0,A,6.8097,44.7284,143
60c09cac,pair1,1,A,7.7198,48.3396,143
60c09cac,pair1,2,A,6.8423,47.9532,143
60c09cac,pair1,3,A,6.2228,60.6713,143
60c09cac,pair1,4,A,5.6162,29.1899,143
62ab2642,pair1,0,B,102.791,102.938,15
62ab2642,pair1,1,B,31.3102,39.9357,15
62ab2642,pair1,2,B,80.0564,80.0564,15
62ab2642,pair1,3,B,92.221,92.221,15
62ab2642,pair1,4,B,25.7072,31.4524,15
642d658d,pair1,0,A,6.1824,7.4347,34
642d658d,pair1,1,A,0.0,1.4847,34
642d658d,pair1,2,A,0.0,4.5957,34
642d658d,pair1,3,A,0.0,4.5957,34
642d658d,pair1,4,A,0.0,4.5957,34
66f2d22f,pair1,0,A,10.4525,34.4278,142
66f2d22f,pair1,1,A,8.6386,36.3932,142
66f2d22f,pair1,2,A,8.6386,36.3932,142
66f2d22f,pair1,3,A,7.0492,29.0983,142
67b4a34d,pair1,0,A,3.9849,13.9851,277
67b4a34d,pair1,1,A,5.8588,16.7888,277
67b4a34d,pair1,2,A,8.6783,38.519,277
67b4a34d,pair1,3,A,3.8303,15.8567,277
68b67ca3,pair1,0,A,2.6138,7.654,124
68b67ca3,pair1,1,A,0.3143,28.5579,124
68b67ca3,pair1,2,A,1.7736,22.9699,124
68b67ca3,pair1,3,A,3.4645,45.2695,124
68b67ca3,pair1,4,A,0.3143,28.5579,124
68b67ca3,pair1,5,A,2.8956,17.3774,124
68b67ca3,pair1,6,A,0.3143,28.5579,124
68b67ca3,pair1,7,A,0.3143,28.5579,124
68b67ca3,pair1,8,A,6.3716,41.0348,124
68b67ca3,pair1,9,A,0.3143,28.5579,124
6df30ad6,pair1,0,B,26.087,51.168,102
6df30ad6,pair1,1,B,26.087,51.168,102
6df30ad6,pair1,2,B,8.4763,15.3219,102
6df30ad6,pair1,3,B,0.0,8.3808,102
6df30ad6,pair1,4,B,26.087,51.168,102
6df30ad6,pair1,5,B,11.1671,16.8302,102
6df30ad6,pair1,6,B,5.5941,23.7378,102
6df30ad6,pair1,7,B,5.5941,23.7378,102
6df30ad6,pair1,8,B,0.0,8.3808,102
6df30ad6,pair1,9,B,30.7693,46.2585,102
6df30ad6,pair1,10,B,4.4266,87.543,102
6df30ad6,pair1,11,B,24.4304,35.0567,102
6ea4a07e,pair1,0,A,2.7769,7.7188,41
6ea4a07e,pair1,1,A,2.7769,7.7188,41
6ea4a07e,pair1,2,A,2.7769,7.7188,41
6ea4a07e,pair1,3,A,2.7769,7.7188,41
6ea4a07e,pair1,4,A,5.6146,8.0607,41
6ea4a07e,pair1,5,A,6.3143,20.2804,41
6ea4a07e,pair1,6,A,1.4825,7.9662,41
6ea4a07e,pair1,7,A,2.7769,7.7188,41
6ea4a07e,pair1,8,A,2.7769,7.7188,41
7039b2d7,pair1,0,A,0.0,1.4847,7
7039b2d7,pair1,1,A,0.6869,0.6869,7
7039b2d7,pair1,2,A,0.3193,0.3193,7
7039b2d7,pair1,3,A,6.6798,38.1735,7
7039b2d7,pair1,4,A,0.3573,18.2195,7
7039b2d7,pair1,5,A,0.0,0.0,7
7039b2d7,pair1,6,A,0.7108,5.9878,7
7039b2d7,pair1,7,A,0.0,0.0,7
7953d61e,pair1,0,A,34.0059,36.1425,51
7953d61e,pair1,1,A,44.6961,46.7609,51
7953d61e,pair1,2,A,40.8661,42.9399,51
7bb29440,pair1,0,A,6.8068,20.5245,8
7bb29440,pair1,1,A,0.8072,12.9212,8
7bb29440,pair1,2,A,10.2272,29.3105,8
7bb29440,pair1,3,A,2.6547,19.9095,8
7bb29440,pair1,4,A,2.4291,18.3905,8
833dafe3,pair1,0,A,33.0228,45.7684,270
833dafe3,pair1,1,A,34.9375,51.4497,270
833dafe3,pair1,2,A,43.3064,60.8706,270
833dafe3,pair1,3,A,47.4408,64.732,270
833dafe3,pair1,4,A,45.1438,61.7346,270
833dafe3,pair1,5,A,58.4748,76.7166,270
833dafe3,pair1,6,A,38.5658,54.6862,270
833dafe3,pair1,7,A,46.2108,63.4032,270
833dafe3,pair1,8,A,39.1767,55.1911,270
84db8fc4,pair1,0,B,23.893,98.5085,33
84db8fc4,pair1,1,B,0.6492,10.0157,33
84f2aca1,pair1,0,B,234.7702,237.8481,4
84f2aca1,pair1,1,B,234.7702,237.8481,4
84f2aca1,pair1,2,B,234.7702,237.8481,4
84f2aca1,pair1,3,B,6.7605,13.119,4
84f2aca1,pair1,4,B,234.7702,237.8481,4
84f2aca1,pair1,5,B,301.3179,310.1046,4
84f2aca1,pair1,6,B,92.8976,106.5157,4
8597cfd7,pair1,0,A,2.5745,14.313,121
8597cfd7,pair1,1,A,0.6567,12.2903,121
8597cfd7,pair1,2,A,2.5745,14.313,121
8597cfd7,pair1,3,A,0.2827,4.0912,121
8597cfd7,pair1,4,A,0.0,1.4847,121
8597cfd7,pair1,5,A,0.0,1.4847,121
8597cfd7,pair1,6,A,2.5745,14.313,121
8597cfd7,pair1,7,A,2.5745,14.313,121
8597cfd7,pair1,8,A,0.2827,4.0912,121
8597cfd7,pair1,9,A,2.5745,14.313,121
8597cfd7,pair1,10,A,0.0,1.4847,121
8e2edd66,pair1,0,A,45.1323,50.7286,27
8e2edd66,pair1,1,A,50.6501,56.2384,27
8e2edd66,pair1,2,A,23.9244,29.7075,27
8e2edd66,pair1,3,A,46.8207,52.428,27
929ab4e9,pair1,0,B,529.1725,1419.0293,42
929ab4e9,pair1,1,B,35.0858,43.9996,42
94133066,pair1,0,A,7.3313,24.6866,11
94133066,pair1,1,A,8.5613,26.3538,11
9a4bb226,pair1,0,A,4.8358,24.8547,58
9a4bb226,pair1,1,A,0.3224,15.4619,58
9a4bb226,pair1,2,A,4.6513,7.2248,58
9a4bb226,pair1,3,A,1.9451,7.4649,58
9a4bb226,pair1,4,A,0.303,13.4652,58
9a4bb226,pair1,5,A,0.2803,11.1741,58
9a4bb226,pair1,6,A,0.2803,11.1741,58
a59b95c0,pair1,0,A,22.7337,22.7337,1
a59b95c0,pair1,1,A,6.7372,6.7372,1
a59b95c0,pair1,2,A,32.9267,32.9267,1
a59b95c0,pair1,3,A,28.2708,28.2708,1
a59b95c0,pair1,4,A,28.7046,28.7046,1
a59b95c0,pair1,5,A,56.0877,56.0877,1
a59b95c0,pair1,6,A,22.7337,22.7337,1
a59b95c0,pair1,7,A,6.3886,6.3886,1
aa18de87,pair1,0,B,18.1809,69.2184,155
aa18de87,pair1,1,B,20.7828,125.0358,155
aa18de87,pair1,2,B,34.596,84.3452,155
aa18de87,pair1,3,B,12.2383,87.3565,155
aa18de87,pair1,4,B,12.2383,87.3565,155
aa18de87,pair1,5,B,0.2664,93.0063,155
bbb1b8b6,pair1,0,A,1.1085,10.2905,11
bbb1b8b6,pair1,1,A,1.8738,7.6027,11
bbb1b8b6,pair1,2,A,2.6829,6.8909,11
bbb1b8b6,pair1,3,A,3.3162,5.953,11
bbb1b8b6,pair1,4,A,1.1085,10.2905,11
bbb1b8b6,pair1,5,A,0.6165,14.1566,11
bbb1b8b6,pair1,6,A,1.1085,10.2905,11
bbb1b8b6,pair1,7,A,0.6165,14.1566,11
bbb1b8b6,pair1,8,A,0.6165,14.1566,11
bc4146bd,pair1,0,A,26.7353,35.6405,138
bc4146bd,pair1,1,A,60.1808,68.9688,138
bc4146bd,pair1,2,A,48.9396,57.8605,138
bc4146bd,pair1,3,A,10.5571,15.2992,138
bc4146bd,pair1,4,A,12.5602,17.6745,138
be03b35f,pair1,0,A,0.0,14.3588,335
be03b35f,pair1,1,A,7.34,39.5586,335
be03b35f,pair1,2,A,0.0,14.3588,335
be03b35f,pair1,3,A,0.0,14.3588,335
be03b35f,pair1,4,A,0.0,14.3588,335
be03b35f,pair1,5,A,0.3482,10.8078,335
be03b35f,pair1,6,A,4.5443,42.3837,335
bf699163,pair1,0,A,12.285,12.285,2
bf699163,pair1,1,A,12.285,12.285,2
bf699163,pair1,2,A,27.1899,27.1899,2
bf699163,pair1,3,A,12.285,12.285,2
bf699163,pair1,4,A,1.3134,1.3134,2
bf699163,pair1,5,A,12.285,12.285,2
bf699163,pair1,6,A,6.6602,6.6602,2
bf699163,pair1,7,A,6.4895,6.4895,2
bf699163,pair1,8,A,6.6602,6.6602,2
cd3c21df,pair1,0,A,4.5275,35.3737,21
cd3c21df,pair1,1,A,4.5275,35.3737,21
cd3c21df,pair1,2,A,4.5275,35.3737,21
cd3c21df,pair1,3,A,29.596,54.3435,21
cd3c21df,pair1,4,A,4.5275,35.3737,21
cd3c21df,pair1,5,A,0.4197,28.7909,21
cd3c21df,pair1,6,A,7.6218,39.5,21
cd3c21df,pair1,7,A,10.0776,42.7981,21
cd3c21df,pair1,8,A,4.5275,35.3737,21
cd3c21df,pair1,9,A,10.0776,42.7981,21
cd3c21df,pair1,10,A,14.7475,47.7475,21
d19f7514,pair1,0,A,3.106,19.7592,61
d19f7514,pair1,1,A,13.9122,35.6089,61
d19f7514,pair1,2,A,4.8381,12.8271,61
d19f7514,pair1,3,A,1.7231,13.1755,61
d4b1c2b1,pair1,0,A,3.9169,24.8541,103
d4b1c2b1,pair1,1,A,0.3232,2.8789,103
d4b1c2b1,pair1,2,A,0.3714,0.495,103
d4b1c2b1,pair1,3,A,1.0726,5.6195,103
d4b1c2b1,pair1,4,A,4.4568,5.5694,103
d4b1c2b1,pair1,5,A,0.2293,23.2299,103
e0fb7511,pair1,0,B,35.7594,52.3291,26
e0fb7511,pair1,1,B,33.3253,63.3615,26
e0fb7511,pair1,2,B,20.805,54.4003,26
e0fb7511,pair1,3,B,11.8853,39.7105,26
e0fb7511,pair1,4,B,33.1681,197.0111,26
e0fb7511,pair1,5,B,18.8453,37.3013,26
e0fb7511,pair1,6,B,28.6055,45.6506,26
e133d23d,pair1,0,A,4.3305,10.0336,137
e133d23d,pair1,1,A,1.1005,10.516,137
e133d23d,pair1,2,A,2.001,13.6563,137
e133d23d,pair1,3,A,3.0363,16.3176,137
e133d23d,pair1,4,A,1.8664,18.3654,137
e133d23d,pair1,5,A,0.7855,6.6007,137
e345f17b,pair1,0,A,2.2411,19.9668,177
e345f17b,pair1,1,A,2.2411,19.9668,177
e345f17b,pair1,2,A,1.6553,11.3818,177
e345f17b,pair1,3,A,11.2713,28.1008,177
e345f17b,pair1,4,A,2.2411,19.9668,177
e66aafb8,pair1,0,A,6.4895,23.092,736
e66aafb8,pair1,1,A,13.8691,46.3908,736
e66aafb8,pair1,2,A,6.4895,23.092,736
e66aafb8,pair1,3,A,4.651,46.6116,736
e66aafb8,pair1,4,A,6.4895,23.092,736
e66aafb8,pair1,5,A,6.0235,18.6431,736
e66aafb8,pair1,6,A,6.4895,23.092,736
e66aafb8,pair1,7,A,9.4612,27.4914,736
e66aafb8,pair1,8,A,6.4895,23.092,736
e66aafb8,pair1,9,A,3.2729,18.2056,736
e7639916,pair1,0,B,14.6825,173.5187,165
e7639916,pair1,1,B,57.6756,126.6638,165
e7639916,pair1,2,B,14.8784,177.7695,165
e7639916,pair1,3,B,60.7437,133.5843,165
e7639916,pair1,4,B,14.8784,177.7695,165
e7639916,pair1,5,B,20.0266,164.871,165
e7639916,pair1,6,B,62.4616,127.0057,165
e7639916,pair1,7,B,27.5315,174.6901,165
e872b94a,pair1,0,A,0.0,14.7475,21
e872b94a,pair1,1,A,0.0,12.2313,21
e872b94a,pair1,2,A,0.0,14.7475,21
e872b94a,pair1,3,A,0.3232,31.2424,21
e872b94a,pair1,4,A,0.0,12.2313,21
e872b94a,pair1,5,A,0.0,12.2313,21
e872b94a,pair1,6,A,0.0,14.7475,21
e872b94a,pair1,7,A,0.0,14.7475,21
e872b94a,pair1,8,A,0.3232,31.2424,21
ea9794b1,pair1,0,A,23.9993,33.2488,16
ea9794b1,pair1,1,A,12.8581,16.6439,16
ed74f2f2,pair1,0,A,5.5272,12.8675,20
ed74f2f2,pair1,1,A,5.5272,12.8675,20
ed74f2f2,pair1,2,A,2.5668,7.3058,20
ed74f2f2,pair1,3,A,3.2614,8.1883,20
ed74f2f2,pair1,4,A,5.5272,12.8675,20
ed74f2f2,pair1,5,A,4.2484,10.4684,20
ed74f2f2,pair1,6,A,5.5272,12.8675,20
ed98d772,pair1,0,A,48.7719,56.2114,113
ed98d772,pair1,1,A,31.906,39.2831,113
ed98d772,pair1,2,A,43.2274,50.8065,113
f0df5ff0,pair1,0,B,9.061,148.204,62
f0df5ff0,pair1,1,B,9.061,148.204,62
f0df5ff0,pair1,2,B,30.2107,153.8129,62
f0df5ff0,pair1,3,B,22.3247,153.5627,62
f0df5ff0,pair1,4,B,17.6289,147.2911,62
f0df5ff0,pair1,5,B,25.6965,156.0833,62
f0df5ff0,pair1,6,B,9.061,148.204,62
f4081712,pair1,0,A,6.4252,14.6756,653
f4081712,pair1,1,A,6.6805,47.1596,653
f4081712,pair1,2,A,3.6737,12.3167,653
f4081712,pair1,3,A,6.3866,14.5583,653
f4081712,pair1,4,A,6.3635,14.8336,653
f4081712,pair1,5,A,6.3635,14.8336,653
f4081712,pair1,6,A,0.9843,3.8817,653
f4081712,pair1,7,A,6.0975,17.929,653
f5aa3634,pair1,0,A,0.7207,20.2629,36
f5aa3634,pair1,1,A,1.0105,9.798,36
f5aa3634,pair1,2,A,0.532,17.2532,36
f5aa3634,pair1,3,A,1.0105,9.798,36
f5aa3634,pair1,4,A,1.5958,11.7377,36
f5aa3634,pair1,5,A,0.4481,20.7222,36
f5aa3634,pair1,6,A,2.5606,5.9499,36
f5aa3634,pair1,7,A,0.4445,9.2427,36
f5aa3634,pair1,8,A,2.6089,22.9355,36
f5aa3634,pair1,9,A,1.5958,11.7377,36
f5aa3634,pair1,10,A,0.7207,20.2629,36
f5aa3634,pair1,11,A,1.7411,6.5996,36
00576224,pair2,0,A,18.5299,19.2191,3
009d5c81,pair2,0,B,0.1706,16.4552,239
009d5c81,pair2,1,B,68.5934,398.6432,239
