pair,seed,task_id,baseline_group,median_dtw_medians,allpairs_median
pair1,seed17,00576224,A,23.2395,23.0588
pair1,seed17,009d5c81,B,19.8052,23.5157
pair1,seed17,0692e18c,A,42.5709,42.2063
pair1,seed17,070dd51e,B,22.6796,42.0752
pair1,seed17,0934a4d8,A,27.2805,27.2805
pair1,seed17,0b17323b,B,2430.9339,2704.2938
pair1,seed17,0c786b71,A,28.1145,27.9844
pair1,seed17,0c9aba6e,A,26.1554,26.1554
pair1,seed17,12eac192,B,29.7829,29.7829
pair1,seed17,140c817e,B,23.3879,25.525
pair1,seed17,15696249,A,49.7624,49.7624
pair1,seed17,195ba7dc,A,6.7866,11.3622
pair1,seed17,19bb5feb,A,2.265,2.1415
pair1,seed17,1a2e2828,A,27.5252,27.5252
pair1,seed17,1acc24af,B,48.9084,105.8629
pair1,seed17,27f8ce4f,A,39.5796,39.5986
pair1,seed17,2c0b0aff,A,7.213,14.7475
pair1,seed17,3194b014,A,11.5223,15.7342
pair1,seed17,32e9702f,B,17.4955,18.2888
pair1,seed17,34b99a2b,A,29.0867,29.0867
pair1,seed17,358ba94e,A,14.9965,16.8506
pair1,seed17,3b4c2228,A,19.7037,19.7037
pair1,seed17,48131b3c,A,33.0089,32.8628
pair1,seed17,48f8583b,A,48.1156,48.0214
pair1,seed17,506d28a5,A,19.0347,19.0347
pair1,seed17,59341089,A,22.8902,27.8368
pair1,seed17,5d2a5c43,A,13.5389,17.2925
pair1,seed17,60c09cac,A,39.5755,39.6916
pair1,seed17,62ab2642,B,65.6929,83.7967
pair1,seed17,642d658d,A,27.1212,27.1212
pair1,seed17,66f2d22f,A,34.8358,36.3102
pair1,seed17,68b67ca3,A,20.5157,20.4568
pair1,seed17,6df30ad6,B,13.7829,22.4896
pair1,seed17,6ea4a07e,A,3.5433,3.5433
pair1,seed17,7039b2d7,A,19.7255,19.8587
pair1,seed17,7953d61e,A,43.42,43.672
pair1,seed17,7bb29440,A,4.8196,7.9735
pair1,seed17,833dafe3,A,57.5645,58.81
pair1,seed17,84db8fc4,B,38.1998,52.2616
pair1,seed17,84f2aca1,B,239.4455,239.4455
pair1,seed17,8597cfd7,A,0.2829,6.6668
pair1,seed17,8e2edd66,A,54.8598,55.0296
pair1,seed17,929ab4e9,B,731.9372,733.9247
pair1,seed17,9a4bb226,A,3.0665,2.934
pair1,seed17,aa18de87,B,21.5432,23.9498
pair1,seed17,bbb1b8b6,A,1.1176,1.1088
pair1,seed17,bc4146bd,A,28.3513,29.2256
pair1,seed17,be03b35f,A,14.3587,14.3587
pair1,seed17,cd3c21df,A,6.66,7.6213
pair1,seed17,d19f7514,A,17.1198,16.4675
pair1,seed17,d4b1c2b1,A,4.6992,5.038
pair1,seed17,e0fb7511,B,26.8603,34.8997
pair1,seed17,e133d23d,A,16.7603,16.7375
pair1,seed17,e345f17b,A,16.3434,16.3434
pair1,seed17,e66aafb8,A,27.166,27.166
pair1,seed17,e7639916,B,97.1513,105.4219
pair1,seed17,e872b94a,A,14.7475,14.7475
pair1,seed17,ed74f2f2,A,8.7863,8.7863
pair1,seed17,ed98d772,A,49.4644,50.8065
pair1,seed17,f0df5ff0,B,30.1595,30.635
pair1,seed17,f4081712,A,24.304,23.7989
pair1,seed17,f5aa3634,A,2.7319,7.4695
pair1,seed42,009d5c81,B,21.7128,22.7237
pair1,seed42,070dd51e,B,13.6273,29.6564
pair1,seed42,0934a4d8,A,16.0068,16.0068
pair1,seed42,0c786b71,A,28.1145,27.9844
pair1,seed42,0c9aba6e,A,25.3373,25.3373
pair1,seed42,12eac192,B,37.9096,37.9096
pair1,seed42,195ba7dc,A,10.762,12.7029
pair1,seed42,19bb5feb,A,9.9169,9.9445
pair1,seed42,1a2e2828,A,4.5962,4.5962
pair1,seed42,27f8ce4f,A,38.4337,38.9954
pair1,seed42,3194b014,A,8.8117,17.5181
pair1,seed42,34b99a2b,A,31.724,31.724
pair1,seed42,358ba94e,A,13.1276,22.2961
pair1,seed42,3b4c2228,A,30.1785,30.1785
pair1,seed42,48131b3c,A,13.738,19.0285
pair1,seed42,48f8583b,A,41.7783,41.6843
pair1,seed42,506d28a5,A,8.2363,8.2363
pair1,seed42,59341089,A,24.5151,29.4663
pair1,seed42,5d2a5c43,A,14.8945,16.967
pair1,seed42,60c09cac,A,47.8371,47.9532
pair1,seed42,642d658d,A,0.3232,0.3232
pair1,seed42,66f2d22f,A,33.2414,34.7248
pair1,seed42,67b4a34d,A,7.273,9.3797
pair1,seed42,68b67ca3,A,28.6168,28.5579
pair1,seed42,6df30ad6,B,20.1583,27.3341
pair1,seed42,6ea4a07e,A,5.941,5.941
pair1,seed42,7039b2d7,A,0.622,1.0859
pair1,seed42,7953d61e,A,41.7921,42.0441
pair1,seed42,7bb29440,A,36.87,33.3058
pair1,seed42,833dafe3,A,58.7705,59.9918
pair1,seed42,84db8fc4,B,13.504,45.1236
pair1,seed42,8597cfd7,A,4.091,4.8712
pair1,seed42,94133066,A,24.014,24.0142
pair1,seed42,9a4bb226,A,5.542,5.6519
pair1,seed42,bbb1b8b6,A,5.024,4.4785
pair1,seed42,bc4146bd,A,35.4017,36.2162
pair1,seed42,be03b35f,A,0.0016,0.0016
pair1,seed42,cd3c21df,A,45.2373,45.2373
pair1,seed42,d19f7514,A,6.3049,6.6042
pair1,seed42,d4b1c2b1,A,2.3743,6.1184
pair1,seed42,e0fb7511,B,22.2822,27.5869
pair1,seed42,e133d23d,A,8.0287,8.2934
pair1,seed42,e345f17b,A,20.8512,20.8512
pair1,seed42,e66aafb8,A,9.6629,9.6629
pair1,seed42,e7639916,B,169.6137,177.9787
pair1,seed42,e872b94a,A,2.8732,2.8732
pair1,seed42,ed74f2f2,A,15.5618,15.5618
pair1,seed42,ed98d772,A,47.6833,49.0254
pair1,seed42,f0df5ff0,B,148.6055,149.3773
pair1,seed42,f4081712,A,6.5867,6.8238
pair1,seed42,f5aa3634,A,26.9531,26.8781
pair1,seed123,00576224,A,23.9736,23.7929
pair1,seed123,009d5c81,B,30.8706,33.9004
pair1,seed123,070dd51e,B,138.6724,146.9043
pair1,seed123,0934a4d8,A,24.504,24.504
pair1,seed123,0b17323b,B,2390.7692,2704.2032
pair1,seed123,0c786b71,A,30.8831,30.7677
pair1,seed123,0c9aba6e,A,28.1406,28.1406
pair1,seed123,12eac192,B,31.5718,31.5718
pair1,seed123,15696249,A,51.011,51.011
pair1,seed123,195ba7dc,A,8.9101,12.155
pair1,seed123,19bb5feb,A,9.9169,9.9445
pair1,seed123,1a2e2828,A,4.5962,4.5962
pair1,seed123,21f83797,B,10.7604,17.4124
pair1,seed123,27f8ce4f,A,37.8897,38.0155
pair1,seed123,3194b014,A,7.0875,8.7756
pair1,seed123,32e9702f,B,18.4264,19.1404
pair1,seed123,34b99a2b,A,38.2899,38.2899
pair1,seed123,358ba94e,A,14.9965,16.8506
pair1,seed123,3b4c2228,A,36.4782,36.4782
pair1,seed123,48131b3c,A,19.2252,20.9923
pair1,seed123,48f8583b,A,46.7455,46.6515
pair1,seed123,506d28a5,A,12.941,12.941
pair1,seed123,50a16a69,A,20.6497,21.3682
pair1,seed123,59341089,A,24.5151,29.4663
pair1,seed123,5d2a5c43,A,10.8322,14.3152
pair1,seed123,60c09cac,A,47.8371,47.9532
pair1,seed123,62ab2642,B,63.9666,80.0568
pair1,seed123,642d658d,A,0.3232,0.3232
pair1,seed123,66f2d22f,A,30.9248,32.524
pair1,seed123,67b4a34d,A,13.5957,13.0381
pair1,seed123,68b67ca3,A,28.6168,28.5579
pair1,seed123,6ea4a07e,A,7.2922,7.2922
pair1,seed123,7bb29440,A,24.1669,26.9295
pair1,seed123,833dafe3,A,60.4037,61.5676
pair1,seed123,84db8fc4,B,47.7199,55.6673
pair1,seed123,84f2aca1,B,234.7707,234.7707
pair1,seed123,8597cfd7,A,0.9497,8.5656
pair1,seed123,9a4bb226,A,6.9402,7.2246
pair1,seed123,a59b95c0,A,24.7128,25.5022
pair1,seed123,aa18de87,B,89.6367,89.2246
pair1,seed123,bbb1b8b6,A,8.8764,8.3309
pair1,seed123,bc4146bd,A,30.0118,30.9262
pair1,seed123,be03b35f,A,11.9952,11.9952
pair1,seed123,bf699163,A,12.6642,12.285
pair1,seed123,cd3c21df,A,6.66,7.6213
pair1,seed123,d4b1c2b1,A,4.6992,5.038
pair1,seed123,e0fb7511,B,156.3919,159.6069
pair1,seed123,e133d23d,A,8.795,8.7838
pair1,seed123,e345f17b,A,15.6588,15.6588
pair1,seed123,e66aafb8,A,23.092,23.092
pair1,seed123,e7639916,B,196.4838,204.7895
pair1,seed123,e872b94a,A,4.5956,12.2311
pair1,seed123,ea9794b1,A,20.477,24.8443
pair1,seed123,ed74f2f2,A,14.5758,14.5758
pair1,seed123,ed98d772,A,48.148,49.4901
pair1,seed123,f0df5ff0,B,34.8795,35.3587
pair1,seed123,f4081712,A,14.3089,13.8461
pair1,seed123,f5aa3634,A,1.9892,4.4153
pair1,combined,00576224,A,23.9736,23.7929
pair1,combined,009d5c81,B,21.6647,21.639
pair1,combined,0692e18c,A,42.571,42.2063
pair1,combined,070dd51e,B,14.5816,32.7801
pair1,combined,0934a4d8,A,24.5041,24.5041
pair1,combined,0b17323b,B,2423.6616,2697.0202
pair1,combined,0c786b71,A,29.3048,29.181
pair1,combined,0c9aba6e,A,26.3942,26.3942
pair1,combined,12eac192,B,29.4964,29.4964
pair1,combined,140c817e,B,23.3877,25.5248
pair1,combined,15696249,A,51.5507,51.5507
pair1,combined,195ba7dc,A,7.2694,11.5939
pair1,combined,19bb5feb,A,9.9169,9.9446
pair1,combined,1a2e2828,A,4.5957,4.5957
pair1,combined,1acc24af,B,48.9085,105.8637
pair1,combined,21f83797,B,10.7604,17.4123
pair1,combined,27f8ce4f,A,40.0325,40.0515
pair1,combined,2c0b0aff,A,7.2134,14.7475
pair1,combined,3194b014,A,5.3023,10.6204
pair1,combined,32e9702f,B,2.7282,17.8194
pair1,combined,34b99a2b,A,30.7156,30.7156
pair1,combined,358ba94e,A,14.9966,16.8507
pair1,combined,3b4c2228,A,36.4782,36.4782
pair1,combined,48131b3c,A,30.5258,30.409
pair1,combined,48f8583b,A,47.8725,47.7784
pair1,combined,506d28a5,A,14.3241,14.3241
pair1,combined,50a16a69,A,20.6498,21.3683
pair1,combined,59341089,A,24.5151,29.4663
pair1,combined,5d2a5c43,A,13.5101,17.0471
pair1,combined,60c09cac,A,47.8371,47.9532
pair1,combined,62ab2642,B,63.9666,80.0564
pair1,combined,642d658d,A,4.5957,4.5957
pair1,combined,66f2d22f,A,34.328,35.8027
pair1,combined,67b4a34d,A,10.99,10.4324
pair1,combined,68b67ca3,A,28.6168,28.5579
pair1,combined,6df30ad6,B,18.3552,25.8723
pair1,combined,6ea4a07e,A,1.9236,1.9236
pair1,combined,7039b2d7,A,0.6222,1.0858
pair1,combined,7953d61e,A,42.6879,42.9399
pair1,combined,7bb29440,A,10.0273,12.9416
pair1,combined,833dafe3,A,59.6795,60.8706
pair1,combined,84db8fc4,B,44.7321,54.685
pair1,combined,84f2aca1,B,237.7975,237.7975
pair1,combined,8597cfd7,A,0.2827,6.6671
pair1,combined,8e2edd66,A,54.8598,55.0297
pair1,combined,929ab4e9,B,731.9368,733.9244
pair1,combined,94133066,A,24.0143,24.0143
pair1,combined,9a4bb226,A,3.0664,2.934
pair1,combined,a59b95c0,A,24.7129,25.5022
pair1,combined,aa18de87,B,89.3471,88.935
pair1,combined,bbb1b8b6,A,7.8171,7.2716
pair1,combined,bc4146bd,A,34.7918,35.6405
pair1,combined,be03b35f,A,14.3588,14.3588
pair1,combined,bf699163,A,12.6643,12.285
pair1,combined,cd3c21df,A,35.3737,35.3737
pair1,combined,d19f7514,A,17.1202,16.4673
pair1,combined,d4b1c2b1,A,4.6992,5.0381
pair1,combined,e0fb7511,B,26.8521,32.7149
pair1,combined,e133d23d,A,11.4392,11.4221
pair1,combined,e345f17b,A,15.0588,15.0588
pair1,combined,e66aafb8,A,25.25,25.25
pair1,combined,e7639916,B,99.4414,107.7585
pair1,combined,e872b94a,A,10.6166,10.6166
pair1,combined,ea9794b1,A,20.4764,24.8442
pair1,combined,ed74f2f2,A,11.6968,11.6968
pair1,combined,ed98d772,A,49.4644,50.8065
pair1,combined,f0df5ff0,B,134.8548,135.3342
pair1,combined,f4081712,A,14.2862,13.8003
pair1,combined,f5aa3634,A,1.3183,6.4909
pair2,seed17,00576224,A,19.8421,19.8421
pair2,seed17,009d5c81,B,198.722,200.0593
pair2,seed17,00dbd492,B,177.3812,177.3812
pair2,seed17,0692e18c,A,22.4784,24.7967
pair2,seed17,070dd51e,B,27.9399,28.0715
pair2,seed17,0934a4d8,A,8.5889,8.7821
pair2,seed17,0a2355a6,B,12.8529,13.4669
pair2,seed17,0b17323b,B,112.5011,112.5011
pair2,seed17,0c9aba6e,A,5.8492,17.7195
pair2,seed17,12eac192,B,1.9081,1.9081
pair2,seed17,15696249,A,31.0618,28.9419
pair2,seed17,1a2e2828,A,0.0,0.0
pair2,seed17,1acc24af,B,8.5948,24.8761
pair2,seed17,1d0a4b61,B,77.0,197.2601
pair2,seed17,2546ccf6,B,738.7506,738.7506
pair2,seed17,27a77e38,B,1549.6966,1971.8694
pair2,seed17,27f8ce4f,A,6.6534,6.9846
pair2,seed17,2a5f8217,B,93.0667,106.4597
pair2,seed17,2c0b0aff,A,25.6582,25.9014
pair2,seed17,310f3251,A,21.1931,21.1931
pair2,seed17,3194b014,A,0.0,0.0
pair2,seed17,31d5ba1a,A,14.0005,23.8431
pair2,seed17,32e9702f,B,16.3782,17.6788
pair2,seed17,358ba94e,A,35.0679,35.0679
pair2,seed17,3a301edc,B,52.4756,52.4756
pair2,seed17,3b4c2228,A,40.0435,40.1669
pair2,seed17,42918530,B,352.6935,650.4565
pair2,seed17,45bbe264,B,26.0674,26.0674
pair2,seed17,477d2879,B,3.2133,3.3833
pair2,seed17,48131b3c,A,10.7235,10.7235
pair2,seed17,4852f2fa,A,7.5547,7.5547
pair2,seed17,48f8583b,A,23.7025,24.7287
pair2,seed17,4cd1b7b2,B,69.036,69.036
pair2,seed17,4ff4c9da,B,293.6193,303.7312
pair2,seed17,505fff84,A,0.0,0.0
pair2,seed17,506d28a5,A,8.0844,15.5224
pair2,seed17,55783887,B,27.6467,30.7792
pair2,seed17,59341089,A,21.4205,23.2563
pair2,seed17,5d2a5c43,A,8.0391,16.9898
pair2,seed17,604001fa,B,17.122,33.8477
pair2,seed17,60c09cac,A,12.5186,21.2121
pair2,seed17,62ab2642,B,125.5135,125.5135
pair2,seed17,642d658d,A,0.0,0.0
pair2,seed17,64a7c07e,B,34.7633,34.5059
pair2,seed17,68b67ca3,A,69.1358,69.1358
pair2,seed17,6df30ad6,B,53.1704,53.6433
pair2,seed17,6ea4a07e,A,32.9949,32.9691
pair2,seed17,7039b2d7,A,0.0,0.0
pair2,seed17,705a3229,B,12.124,12.124
pair2,seed17,73ccf9c2,A,0.0,0.0
pair2,seed17,7bb29440,A,0.0,0.0
pair2,seed17,7d1f7ee8,B,361.9359,361.9359
pair2,seed17,817e6c09,B,194.5937,194.5937
pair2,seed17,833dafe3,A,0.0,0.0
pair2,seed17,84db8fc4,B,14.3979,19.3681
pair2,seed17,84f2aca1,B,204.8732,207.5231
pair2,seed17,8597cfd7,A,0.0,0.0
pair2,seed17,8e2edd66,A,53.5659,48.669
pair2,seed17,8fbca751,B,20.4465,28.8316
pair2,seed17,90347967,B,8.1354,8.4217
pair2,seed17,929ab4e9,B,51.8952,57.5416
pair2,seed17,99306f82,B,22.6146,22.6146
pair2,seed17,9a4bb226,A,41.0168,41.0168
pair2,seed17,a3f84088,B,31.7301,38.8683
pair2,seed17,a59b95c0,A,0.0,0.0
pair2,seed17,aa18de87,B,118.7072,124.1406
pair2,seed17,ac3e2b04,B,30.6496,32.1201
pair2,seed17,ad7e01d0,A,0.0,0.0
pair2,seed17,ae58858e,B,14.0292,14.0292
pair2,seed17,b7f8a4d8,B,330.7907,328.5444
pair2,seed17,bbb1b8b6,A,16.2576,16.2576
pair2,seed17,bc4146bd,A,8.8296,9.0676
pair2,seed17,be03b35f,A,14.3942,20.5834
pair2,seed17,c074846d,B,593.5673,596.4193
pair2,seed17,c8b7cc0f,A,3.5318,17.6419
pair2,seed17,ccd554ac,A,0.0,0.0
